batch_size = 64*8   lr = 2.8*1e-3

25-03-18 15:47:29.228 : Params number: 549216
25-03-18 16:26:47.048 :    0 --> Average loss0.0458940718
25-03-18 16:27:13.526 :    0 --> psnr25.13420
25-03-18 16:27:13.535 : new best model appears at epoch   0 --> psnr25.13420
25-03-18 17:00:49.448 :    1 --> Average loss0.0386579724
25-03-18 17:01:14.154 :    1 --> psnr25.35600
25-03-18 17:01:14.172 : new best model appears at epoch   1 --> psnr25.35600
25-03-18 17:33:26.304 :    2 --> Average loss0.0359182589
25-03-18 17:33:50.674 :    2 --> psnr25.85415
25-03-18 17:33:50.680 : new best model appears at epoch   2 --> psnr25.85415
25-03-18 18:05:52.002 :    3 --> Average loss0.0338815641
25-03-18 18:06:16.753 :    3 --> psnr26.02938
25-03-18 18:06:16.759 : new best model appears at epoch   3 --> psnr26.02938
25-03-18 18:38:48.718 :    4 --> Average loss0.0324933944
25-03-18 18:39:13.677 :    4 --> psnr26.06582
25-03-18 18:39:13.683 : new best model appears at epoch   4 --> psnr26.06582
25-03-18 19:12:01.347 :    5 --> Average loss0.0315160110
25-03-18 19:12:25.874 :    5 --> psnr26.17059
25-03-18 19:12:25.879 : new best model appears at epoch   5 --> psnr26.17059
25-03-18 19:44:50.268 :    6 --> Average loss0.0307984979
25-03-18 19:45:15.087 :    6 --> psnr26.23104
25-03-18 19:45:15.092 : new best model appears at epoch   6 --> psnr26.23104
25-03-18 20:17:22.371 :    7 --> Average loss0.0302181304
25-03-18 20:17:47.046 :    7 --> psnr26.26894
25-03-18 20:17:47.050 : new best model appears at epoch   7 --> psnr26.26894
25-03-18 20:49:53.432 :    8 --> Average loss0.0297581636
25-03-18 20:50:18.131 :    8 --> psnr26.32516
25-03-18 20:50:18.135 : new best model appears at epoch   8 --> psnr26.32516
25-03-18 21:22:35.238 :    9 --> Average loss0.0293666608
25-03-18 21:22:59.727 :    9 --> psnr26.31656
25-03-18 21:55:13.709 :   10 --> Average loss0.0290342261
25-03-18 21:55:38.370 :   10 --> psnr26.35051
25-03-18 21:55:38.376 : new best model appears at epoch  10 --> psnr26.35051
25-03-18 22:27:53.028 :   11 --> Average loss0.0287414296
25-03-18 22:28:17.779 :   11 --> psnr26.40092
25-03-18 22:28:17.785 : new best model appears at epoch  11 --> psnr26.40092
25-03-18 23:00:24.468 :   12 --> Average loss0.0284868852
25-03-18 23:00:48.724 :   12 --> psnr26.41278
25-03-18 23:00:48.729 : new best model appears at epoch  12 --> psnr26.41278
25-03-18 23:32:58.446 :   13 --> Average loss0.0282868277
25-03-18 23:33:23.054 :   13 --> psnr26.38687
25-03-19 00:05:33.644 :   14 --> Average loss0.0280932688
25-03-19 00:05:58.256 :   14 --> psnr26.44809
25-03-19 00:05:58.262 : new best model appears at epoch  14 --> psnr26.44809
25-03-19 00:37:59.186 :   15 --> Average loss0.0279133930
25-03-19 00:38:23.684 :   15 --> psnr26.45491
25-03-19 00:38:23.689 : new best model appears at epoch  15 --> psnr26.45491
25-03-19 01:10:31.309 :   16 --> Average loss0.0277525831
25-03-19 01:10:55.995 :   16 --> psnr26.46757
25-03-19 01:10:56.001 : new best model appears at epoch  16 --> psnr26.46757
25-03-19 01:42:51.352 :   17 --> Average loss0.0276075493
25-03-19 01:43:15.999 :   17 --> psnr26.46922
25-03-19 01:43:16.005 : new best model appears at epoch  17 --> psnr26.46922
25-03-19 02:15:05.161 :   18 --> Average loss0.0274759681
25-03-19 02:15:29.908 :   18 --> psnr26.47754
25-03-19 02:15:29.914 : new best model appears at epoch  18 --> psnr26.47754
25-03-19 02:47:35.383 :   19 --> Average loss0.0273562013
25-03-19 02:47:59.757 :   19 --> psnr26.48361
25-03-19 02:47:59.762 : new best model appears at epoch  19 --> psnr26.48361
25-03-19 03:20:19.116 :   20 --> Average loss0.0272469883
25-03-19 03:20:43.410 :   20 --> psnr26.48659
25-03-19 03:20:43.415 : new best model appears at epoch  20 --> psnr26.48659
25-03-19 03:52:45.334 :   21 --> Average loss0.0271471806
25-03-19 03:53:10.312 :   21 --> psnr26.48810
25-03-19 03:53:10.317 : new best model appears at epoch  21 --> psnr26.48810
25-03-19 04:25:13.593 :   22 --> Average loss0.0270556849
25-03-19 04:25:38.274 :   22 --> psnr26.48973
25-03-19 04:25:38.280 : new best model appears at epoch  22 --> psnr26.48973
25-03-19 04:57:35.732 :   23 --> Average loss0.0269715940
25-03-19 04:58:00.155 :   23 --> psnr26.49007
25-03-19 04:58:00.161 : new best model appears at epoch  23 --> psnr26.49007
25-03-19 05:30:10.709 :   24 --> Average loss0.0268941402
25-03-19 05:30:35.522 :   24 --> psnr26.49001
