25-03-19 09:41:07.501 : Params number: 549216
25-03-19 09:57:31.958 :    0 --> Average loss0.0317668847
25-03-19 09:57:53.491 :    0 --> psnr25.99330
25-03-19 09:57:53.495 : new best model appears at epoch   0 --> psnr25.99330
25-03-19 10:08:14.603 :    1 --> Average loss0.0293128174
25-03-19 10:08:32.955 :    1 --> psnr26.21394
25-03-19 10:08:32.955 : new best model appears at epoch   1 --> psnr26.21394
25-03-19 10:18:51.694 :    2 --> Average loss0.0282752202
25-03-19 10:19:10.180 :    2 --> psnr26.19902
25-03-19 10:29:18.096 :    3 --> Average loss0.0276800358
25-03-19 10:29:36.300 :    3 --> psnr26.38633
25-03-19 10:29:36.300 : new best model appears at epoch   3 --> psnr26.38633
25-03-19 10:39:48.921 :    4 --> Average loss0.0272699935
25-03-19 10:40:07.197 :    4 --> psnr26.37075
25-03-19 10:50:22.179 :    5 --> Average loss0.0269651559
25-03-19 10:50:40.446 :    5 --> psnr26.48122
25-03-19 10:50:40.447 : new best model appears at epoch   5 --> psnr26.48122
25-03-19 11:01:00.231 :    6 --> Average loss0.0267248445
25-03-19 11:01:18.479 :    6 --> psnr26.51701
25-03-19 11:01:18.480 : new best model appears at epoch   6 --> psnr26.51701
25-03-19 11:11:31.216 :    7 --> Average loss0.0265278121
25-03-19 11:11:49.500 :    7 --> psnr26.52979
25-03-19 11:11:49.503 : new best model appears at epoch   7 --> psnr26.52979
25-03-19 11:22:05.858 :    8 --> Average loss0.0263627881
25-03-19 11:22:24.122 :    8 --> psnr26.48441
25-03-19 11:32:43.388 :    9 --> Average loss0.0262212513
25-03-19 11:33:01.589 :    9 --> psnr26.54272
25-03-19 11:33:01.589 : new best model appears at epoch   9 --> psnr26.54272
25-03-19 11:43:10.236 :   10 --> Average loss0.0260983515
25-03-19 11:43:28.456 :   10 --> psnr26.59639
25-03-19 11:43:28.457 : new best model appears at epoch  10 --> psnr26.59639
25-03-19 11:53:39.746 :   11 --> Average loss0.0259921360
25-03-19 11:53:58.052 :   11 --> psnr26.59334
25-03-19 12:04:15.358 :   12 --> Average loss0.0258965863
25-03-19 12:04:33.639 :   12 --> psnr26.60541
25-03-19 12:04:33.640 : new best model appears at epoch  12 --> psnr26.60541
25-03-19 12:14:48.412 :   13 --> Average loss0.0258103309
25-03-19 12:15:06.679 :   13 --> psnr26.62573
25-03-19 12:15:06.681 : new best model appears at epoch  13 --> psnr26.62573
25-03-19 12:25:28.919 :   14 --> Average loss0.0257331465
25-03-19 12:25:47.158 :   14 --> psnr26.62320
25-03-19 12:36:11.494 :   15 --> Average loss0.0256617921
25-03-19 12:36:29.768 :   15 --> psnr26.63187
25-03-19 12:36:29.769 : new best model appears at epoch  15 --> psnr26.63187
25-03-19 12:47:05.530 :   16 --> Average loss0.0255963420
25-03-19 12:47:23.930 :   16 --> psnr26.63521
25-03-19 12:47:23.930 : new best model appears at epoch  16 --> psnr26.63521
25-03-19 12:57:44.207 :   17 --> Average loss0.0255360372
25-03-19 12:58:02.638 :   17 --> psnr26.64049
25-03-19 12:58:02.639 : new best model appears at epoch  17 --> psnr26.64049
25-03-19 13:08:11.981 :   18 --> Average loss0.0254804600
25-03-19 13:08:30.476 :   18 --> psnr26.65344
25-03-19 13:08:30.477 : new best model appears at epoch  18 --> psnr26.65344
25-03-19 13:18:57.548 :   19 --> Average loss0.0254284296
25-03-19 13:19:15.949 :   19 --> psnr26.66231
25-03-19 13:19:15.950 : new best model appears at epoch  19 --> psnr26.66231
25-03-19 13:29:37.830 :   20 --> Average loss0.0253800166
25-03-19 13:29:56.240 :   20 --> psnr26.65687
25-03-19 13:40:28.354 :   21 --> Average loss0.0253349010
25-03-19 13:40:46.814 :   21 --> psnr26.66262
25-03-19 13:40:46.814 : new best model appears at epoch  21 --> psnr26.66262
25-03-19 13:51:15.046 :   22 --> Average loss0.0252927336
25-03-19 13:51:33.531 :   22 --> psnr26.67562
25-03-19 13:51:33.532 : new best model appears at epoch  22 --> psnr26.67562
25-03-19 14:01:55.204 :   23 --> Average loss0.0252532610
25-03-19 14:02:13.664 :   23 --> psnr26.67557
25-03-19 14:12:26.159 :   24 --> Average loss0.0252162812
25-03-19 14:12:44.554 :   24 --> psnr26.67974
25-03-19 14:12:44.554 : new best model appears at epoch  24 --> psnr26.67974
25-03-19 14:22:57.514 :   25 --> Average loss0.0251816288
25-03-19 14:23:15.901 :   25 --> psnr26.67986
25-03-19 14:23:15.902 : new best model appears at epoch  25 --> psnr26.67986
25-03-19 14:33:23.742 :   26 --> Average loss0.0251491699
25-03-19 14:33:42.141 :   26 --> psnr26.67860
25-03-19 14:43:55.049 :   27 --> Average loss0.0251187597
25-03-19 14:44:13.429 :   27 --> psnr26.67928
25-03-19 14:54:25.510 :   28 --> Average loss0.0250902845
25-03-19 14:54:43.914 :   28 --> psnr26.68094
25-03-19 14:54:43.914 : new best model appears at epoch  28 --> psnr26.68094
25-03-19 15:05:11.784 :   29 --> Average loss0.0250636243
25-03-19 15:05:30.264 :   29 --> psnr26.68045
