# GPU2 比 GPU3 拉跨很多，，不知道是用的人多还是怎么回事？


# GPU3跑一个 epoch 10 分钟。
25-03-19 19:53:26.768 : Params number: 549216
25-03-19 20:11:23.810 :    0 --> Average loss0.0317800730
25-03-19 20:11:47.289 :    0 --> psnr25.90286
25-03-19 20:11:47.295 : new best model appears at epoch   0 --> psnr25.90286
25-03-19 20:22:00.971 :    1 --> Average loss0.0294103707
25-03-19 20:22:19.786 :    1 --> psnr26.19383
25-03-19 20:22:19.787 : new best model appears at epoch   1 --> psnr26.19383
25-03-19 20:32:42.621 :    2 --> Average loss0.0284024017
25-03-19 20:33:01.285 :    2 --> psnr26.30243
25-03-19 20:33:01.285 : new best model appears at epoch   2 --> psnr26.30243
25-03-19 20:43:12.803 :    3 --> Average loss0.0277763360
25-03-19 20:43:31.441 :    3 --> psnr26.38350
25-03-19 20:43:31.442 : new best model appears at epoch   3 --> psnr26.38350
25-03-19 20:53:42.006 :    4 --> Average loss0.0273621638
25-03-19 20:54:00.703 :    4 --> psnr26.43349
25-03-19 20:54:00.703 : new best model appears at epoch   4 --> psnr26.43349
25-03-19 21:04:13.567 :    5 --> Average loss0.0270414807
25-03-19 21:04:32.393 :    5 --> psnr26.44409
25-03-19 21:04:32.394 : new best model appears at epoch   5 --> psnr26.44409
25-03-19 21:14:44.759 :    6 --> Average loss0.0267959117
25-03-19 21:15:03.523 :    6 --> psnr26.52971
25-03-19 21:15:03.525 : new best model appears at epoch   6 --> psnr26.52971
25-03-19 21:25:16.948 :    7 --> Average loss0.0265899496
25-03-19 21:25:35.706 :    7 --> psnr26.54311
25-03-19 21:25:35.713 : new best model appears at epoch   7 --> psnr26.54311
25-03-19 21:35:48.032 :    8 --> Average loss0.0264178225
25-03-19 21:36:06.731 :    8 --> psnr26.57974
25-03-19 21:36:06.731 : new best model appears at epoch   8 --> psnr26.57974
25-03-19 21:46:19.646 :    9 --> Average loss0.0262700068
25-03-19 21:46:38.299 :    9 --> psnr26.57120
25-03-19 21:56:51.899 :   10 --> Average loss0.0261410837
25-03-19 21:57:10.688 :   10 --> psnr26.60352
25-03-19 21:57:10.688 : new best model appears at epoch  10 --> psnr26.60352
25-03-19 22:07:29.112 :   11 --> Average loss0.0260290064
25-03-19 22:07:47.819 :   11 --> psnr26.61884
25-03-19 22:07:47.819 : new best model appears at epoch  11 --> psnr26.61884
25-03-19 22:18:00.968 :   12 --> Average loss0.0259290276
25-03-19 22:18:19.717 :   12 --> psnr26.62080
25-03-19 22:18:19.722 : new best model appears at epoch  12 --> psnr26.62080
25-03-19 22:28:32.418 :   13 --> Average loss0.0258386937
25-03-19 22:28:51.149 :   13 --> psnr26.63729
25-03-19 22:28:51.151 : new best model appears at epoch  13 --> psnr26.63729
25-03-19 22:39:05.379 :   14 --> Average loss0.0257576294
25-03-19 22:39:24.051 :   14 --> psnr26.64877
25-03-19 22:39:24.052 : new best model appears at epoch  14 --> psnr26.64877
25-03-19 22:49:37.550 :   15 --> Average loss0.0256835239
25-03-19 22:49:56.341 :   15 --> psnr26.65228
25-03-19 22:49:56.341 : new best model appears at epoch  15 --> psnr26.65228
25-03-19 23:00:11.080 :   16 --> Average loss0.0256152133
25-03-19 23:00:29.903 :   16 --> psnr26.66658
25-03-19 23:00:29.903 : new best model appears at epoch  16 --> psnr26.66658
25-03-19 23:10:43.491 :   17 --> Average loss0.0255524147
25-03-19 23:11:02.184 :   17 --> psnr26.66618
25-03-19 23:21:17.259 :   18 --> Average loss0.0254941766
25-03-19 23:21:35.919 :   18 --> psnr26.67756
25-03-19 23:21:35.919 : new best model appears at epoch  18 --> psnr26.67756


# GPU2 跑一个 epoch 半小时
25-03-20 01:51:29.568 : Params number: 549216
25-03-20 02:43:34.418 :    0 --> Average loss0.0317999169
25-03-20 02:44:00.999 :    0 --> psnr25.97826
25-03-20 02:44:01.008 : new best model appears at epoch   0 --> psnr25.97826
25-03-20 03:18:34.067 :    1 --> Average loss0.0293436429
25-03-20 03:18:58.330 :    1 --> psnr26.20249
25-03-20 03:18:58.343 : new best model appears at epoch   1 --> psnr26.20249
25-03-20 03:50:41.348 :    2 --> Average loss0.0283221178
25-03-20 03:51:06.949 :    2 --> psnr26.26685
25-03-20 03:51:06.955 : new best model appears at epoch   2 --> psnr26.26685
25-03-20 04:22:07.903 :    3 --> Average loss0.0276976894
25-03-20 04:22:31.854 :    3 --> psnr26.38616
25-03-20 04:22:31.859 : new best model appears at epoch   3 --> psnr26.38616
25-03-20 04:53:30.411 :    4 --> Average loss0.0272939088
25-03-20 04:53:54.322 :    4 --> psnr26.41870
25-03-20 04:53:54.328 : new best model appears at epoch   4 --> psnr26.41870
25-03-20 05:25:06.080 :    5 --> Average loss0.0269823286
25-03-20 05:25:30.237 :    5 --> psnr26.35588
25-03-20 05:56:35.290 :    6 --> Average loss0.0267449772
25-03-20 05:56:59.350 :    6 --> psnr26.49086
25-03-20 05:56:59.356 : new best model appears at epoch   6 --> psnr26.49086
25-03-20 06:28:10.403 :    7 --> Average loss0.0265479349
25-03-20 06:28:34.241 :    7 --> psnr26.52000
25-03-20 06:28:34.248 : new best model appears at epoch   7 --> psnr26.52000
